// <0000> 魔物使いの女性たちが、シートの上に何人も寝かせられていた。
<0000> 魔物使いの女性たちが、シートの上に何人も寝かせられていた。
<0531> 俺は護衛だというのに朱音とは離され、別室で待機を命じられた。

// <0532> 朱音の様子は朝からおかしかった。
<0532> 朱音の様子は朝からおかしかった。

// <0533> いや、加島桜の訃報を聞いてから、その顔からは人間味が消えてしまった。
<0533> いや、加島桜の訃報を聞いてから、その顔からは人間味が消えてしまった。

// <0534> 目が据わって、この世のものではないような顔…
<0534> 目が据わって、この世のものではないような顔…

// <0535> 夜半。
<0535> 夜半。

// <0536> 関係者らが自室に引きあげても、朱音と洲崎だけが出てこない。
<0536> 関係者らが自室に引きあげても、朱音と洲崎だけが出てこない。

// <0537> 俺は部屋の前に立ち、気取られないよう小さく扉を開いた。
<0537> 俺は部屋の前に立ち、気取られないよう小さく扉を開いた。

// <0538> 洲崎
<0538> 洲崎

// <0539> 「…森では、派手に動いていたようだな」
<0539> 「…森では、派手に動いていたようだな」

// <0540> 朱音
<0540> 朱音

// <0541> 「…」
<0541> 「…」

// <0542> 洲崎
<0542> 洲崎

// <0543> 「とぼけるのは止めてくれ。調べはついているんでね」
<0543> 「とぼけるのは止めてくれ。調べはついているんでね」

// <0544> 朱音
<0544> 朱音

// <0545> 「そちらも被害は甚大だそうで」
<0545> 「そちらも被害は甚大だそうで」

// <0546> 洲崎
<0546> 洲崎

// <0547> 「君たちが余計な動きを見せなければ、こんなことにはならなかったはずだ」
<0547> 「君たちが余計な動きを見せなければ、こんなことにはならなかったはずだ」

// <0548> 洲崎
<0548> 洲崎

// <0549> 「正式な聖女でもないうちから越権行為の数々に、マスコミへの働きかけ、会の私物化もいいところだ」
<0549> 「正式な聖女でもないうちから越権行為の数々に、マスコミへの働きかけ、会の私物化もいいところだ」

// <0550> 洲崎
<0550> 洲崎

// <0551> 「我々は本件をこのままにしておくつもりはない。徹底調査を行うつもりだよ」
<0551> 「我々は本件をこのままにしておくつもりはない。徹底調査を行うつもりだよ」

// <0552> 朱音
<0552> 朱音

// <0553> 「好きになさい」
<0553> 「好きになさい」

// <0554> 洲崎
<0554> 洲崎

// <0555> 「マーテルは今や宗教団体ではない。民衆ももはや聖女を求めてはいない」
<0555> 「マーテルは今や宗教団体ではない。民衆ももはや聖女を求めてはいない」

// <0556> 洲崎
<0556> 洲崎

// <0557> 「救いは科学的なイノベーションによってもたらされる」
<0557> 「救いは科学的なイノベーションによってもたらされる」

// <0558> 朱音
<0558> 朱音

// <0559> 「…命をもてあそぶ術を科学と言い張るのね」
<0559> 「…命をもてあそぶ術を科学と言い張るのね」

// <0560> 洲崎
<0560> 洲崎

// <0561> 「解明されていない物理現象は、科学ではないとでも思うのか？」
<0561> 「解明されていない物理現象は、科学ではないとでも思うのか？」

// <0562> 洲崎
<0562> 洲崎

// <0563> 「…我々は、聖女にはもはや独自の権限は必要ないと考えている」
<0563> 「…我々は、聖女にはもはや独自の権限は必要ないと考えている」

// <0564> 洲崎
<0564> 洲崎

// <0565> 「君が持ち場を離れたから、加島桜は命を落としたのではないのか」
<0565> 「君が持ち場を離れたから、加島桜は命を落としたのではないのか」

// <0566> 朱音
<0566> 朱音

// <0567> 「…」
<0567> 「…」

// <0568> 洲崎
<0568> 洲崎

// <0569> 「いや、もしかすると、君が敵方を手引きしたのかも知れない」
<0569> 「いや、もしかすると、君が敵方を手引きしたのかも知れない」

// <0570> ぬけぬけと…
<0570> ぬけぬけと…

// <0571> マグマのような感情が湧き上がる。
<0571> マグマのような感情が湧き上がる。

// <0572> だが俺より早く、朱音が口を開いた。
<0572> だが俺より早く、朱音が口を開いた。

// <0573> 本当の怒りは、深く静かに冷たい。
<0573> 本当の怒りは、深く静かに冷たい。

// <0574> そのことを証すような声だった。
<0574> そのことを証すような声だった。

// <0575> 朱音
<0575> 朱音

// <0576> 「…裏切りはどちらか」
<0576> 「…裏切りはどちらか」

// <0577> 洲崎
<0577> 洲崎

// <0578> 「何？」
<0578> 「何？」

// <0579> 朱音
<0579> 朱音

// <0580> 「おまえは二度、裏切った」
<0580> 「おまえは二度、裏切った」

// <0581> 洲崎
<0581> 洲崎

// <0582> 「私が？　二度？　どういうことだね」
<0582> 「私が？　二度？　どういうことだね」

// <0583> 朱音
<0583> 朱音

// <0584> 「おまえは加島桜の守人としての任務から逃げた。彼女に対する恐怖から」
<0584> 「おまえは加島桜の守人としての任務から逃げた。彼女に対する恐怖から」

// <0585> 朱音
<0585> 朱音

// <0586> 「そして今また、おまえが何を画策し実行したのか、私は理解した」
<0586> 「そして今また、おまえが何を画策し実行したのか、私は理解した」

// <0587> 朱音
<0587> 朱音

// <0588> 「二度も裏切ったおまえは、もうとうにガイア主義者などではない」
<0588> 「二度も裏切ったおまえは、もうとうにガイア主義者などではない」

// <0589> 洲崎
<0589> 洲崎

// <0590> 「…なんという物言いだ」
<0590> 「…なんという物言いだ」

// <0591> 洲崎
<0591> 洲崎

// <0592> 「聖女のしもべであっても今の暴言は見逃せんな」
<0592> 「聖女のしもべであっても今の暴言は見逃せんな」

// <0593> 洲崎
<0593> 洲崎

// <0594> 「どうやら君には聖女を継承するに足る準備ができていないようだ。これでは人形と変わりない」
<0594> 「どうやら君には聖女を継承するに足る準備ができていないようだ。これでは人形と変わりない」

// <0595> 洲崎
<0595> 洲崎

// <0596> 「人形に実権を預けることはできん」
<0596> 「人形に実権を預けることはできん」

// <0597> 洲崎
<0597> 洲崎

// <0598> 「聖女会の活動を停止させてもらう。これは理事会からの正式な要請だ」
<0598> 「聖女会の活動を停止させてもらう。これは理事会からの正式な要請だ」

// <0599> 朱音
<0599> 朱音

// <0600> 「無論拒否するわ。おまえの政治ごっこに付き合う義理はないもの」
<0600> 「無論拒否するわ。おまえの政治ごっこに付き合う義理はないもの」

// <0601> 洲崎
<0601> 洲崎

// <0602> 「そのような態度は感心できんな。子供がわめいているようにしか思えんよ」
<0602> 「そのような態度は感心できんな。子供がわめいているようにしか思えんよ」

// <0603> 洲崎
<0603> 洲崎

// <0604> 「いいか、組織の維持というものは…」
<0604> 「いいか、組織の維持というものは…」

// <0605> 朱音が立ちあがり、洲崎の口上が止まる。
<0605> 朱音が立ちあがり、洲崎の口上が止まる。

// <0606> 上から目線で朱音は洲崎に告げる。
<0606> 上から目線で朱音は洲崎に告げる。

// <0607> 朱音
<0607> 朱音

// <0608> 「おまえが魔物を扱えぬわけ、よくわかるわ」
<0608> 「おまえが魔物を扱えぬわけ、よくわかるわ」

// <0609> 洲崎の表情が凍り付いた。
<0609> 洲崎の表情が凍り付いた。

// <0610> 対する朱音の顔にも、刺すような冷気が漂っている。
<0610> 対する朱音の顔にも、刺すような冷気が漂っている。

// <0611> 朱音
<0611> 朱音

// <0612> 「ガイア主義を体現できぬおまえが、我らの悲しみや苦しみをなぜ語れるというの」
<0612> 「ガイア主義を体現できぬおまえが、我らの悲しみや苦しみをなぜ語れるというの」

// <0613> 朱音
<0613> 朱音

// <0614> 「一度は加島桜と通じておきながら、その元を離れて組織を二分したおまえが」
<0614> 「一度は加島桜と通じておきながら、その元を離れて組織を二分したおまえが」

// <0615> 朱音
<0615> 朱音

// <0616> 「継承の準備ができていない？　なぜそう思うの？　聖女の継承とは何か、理解していないわけでもないでしょうに」
<0616> 「継承の準備ができていない？　なぜそう思うの？　聖女の継承とは何か、理解していないわけでもないでしょうに」

// <0617> 洲崎が息を呑む。
<0617> 洲崎が息を呑む。

// <0618> その様子を見て、朱音は妖女のようにせせら笑った。
<0618> その様子を見て、朱音は妖女のようにせせら笑った。

// <0619> 朱音
<0619> 朱音

// <0620> 「継承とは単なる儀式とは異なる。それは不可視でありながら、力を宿した絆のことを指すのよ」
<0620> 「継承とは単なる儀式とは異なる。それは不可視でありながら、力を宿した絆のことを指すのよ」

// <0621> 朱音
<0621> 朱音

// <0622> 「私と加島桜の間に張り渡された契約は、彼女の死とともに果たされた」
<0622> 「私と加島桜の間に張り渡された契約は、彼女の死とともに果たされた」

// <0623> 朱音
<0623> 朱音

// <0624> 「…なるほど私が人形であると、本当に皆もそう思ってくれるといいわね、洲崎？」
<0624> 「…なるほど私が人形であると、本当に皆もそう思ってくれるといいわね、洲崎？」

// <0625> 洲崎
<0625> 洲崎

// <0626> 「な、何をする気だ…」
<0626> 「な、何をする気だ…」

// <0627> 気圧されながらも洲崎が食い下がる。
<0627> 気圧されながらも洲崎が食い下がる。

// <0628> 洲崎
<0628> 洲崎

// <0629> 「鍵は失われたはずだ！　もはや聖女会には、切り札など何もない！」
<0629> 「鍵は失われたはずだ！　もはや聖女会には、切り札など何もない！」

// <0630> 洲崎
<0630> 洲崎

// <0631> 「私の人工来世だけが、これからのガイアには必要なはずだ！」
<0631> 「私の人工来世だけが、これからのガイアには必要なはずだ！」

// <0632> 朱音
<0632> 朱音

// <0633> 「あんなもの所詮は袋小路の希望でしかないじゃない」
<0633> 「あんなもの所詮は袋小路の希望でしかないじゃない」

// <0634> 朱音
<0634> 朱音

// <0635> 「…新参者が」
<0635> 「…新参者が」

// <0636> 洲崎
<0636> 洲崎

// <0637> 「な、何をするつもりだ！」
<0637> 「な、何をするつもりだ！」

// <0638> 朱音は答えなかった。
<0638> 朱音は答えなかった。

// <0639> 答えずに、部屋を出た。
<0639> 答えずに、部屋を出た。

// <0640> 
<0640> 

// <0641> 朱音
<0641> 朱音

// <0642> 「あら瑚太朗、いたの？」
<0642> 「あら瑚太朗、いたの？」

// <0643> 瑚太朗
<0643> 瑚太朗

// <0644> 「…心配で、すみません。盗み聞いてしまいました…」
<0644> 「…心配で、すみません。盗み聞いてしまいました…」

// <0645> 瑚太朗
<0645> 瑚太朗

// <0646> 「でも今の話って…？」
<0646> 「でも今の話って…？」

// <0647> 朱音はふっと相好を崩す。
<0647> 朱音はふっと相好を崩す。

// <0648> 朱音
<0648> 朱音

// <0649> 「とっちめてやったわ」
<0649> 「とっちめてやったわ」

// <0650> 収穫祭が終わり、町に平穏が戻ってきた。
<0650> 収穫祭が終わり、町に平穏が戻ってきた。

// <0651> 一大イベントである収穫祭…
<0651> 一大イベントである収穫祭…

// <0652> しかし今年の俺にとっては、まったくの他人事だ。
<0652> しかし今年の俺にとっては、まったくの他人事だ。

// <0653> ガイアの俺。
<0653> ガイアの俺。

// <0654> 朱音の付き人としての俺。
<0654> 朱音の付き人としての俺。

// <0655> だけど今だに、自分が何者なのか判然としない。
<0655> だけど今だに、自分が何者なのか判然としない。

// <0656> 鍵を失ったあと、朱音はほんの少し、俺に心を開いてくれたはずだった。
<0656> 鍵を失ったあと、朱音はほんの少し、俺に心を開いてくれたはずだった。

// <0657> …でも今は。
<0657> …でも今は。

// <0658> 朱音もあの日から、精力的に動きはじめた。
<0658> 朱音もあの日から、精力的に動きはじめた。

// <0659> それは本当に人が変わったようだった。
<0659> それは本当に人が変わったようだった。

// <0660> 日本各地に飛び、大勢の人間と会う。
<0660> 日本各地に飛び、大勢の人間と会う。

// <0661> 要人に陪席（ばいせき）し、顔を繋ぐ。
<0661> 要人に陪席（ばいせき）し、顔を繋ぐ。

// <0662> 各地のミーティングに列席し、講演を行う。
<0662> 各地のミーティングに列席し、講演を行う。

// <0663> 洲崎の思惑がどうあれ、組織を統べる少女というイメージは輝かしいほどに人目をひく。
<0663> 洲崎の思惑がどうあれ、組織を統べる少女というイメージは輝かしいほどに人目をひく。

// <0664> 誰もが朱音を次期聖女と見なすのに、一ヶ月もかからない。
<0664> 誰もが朱音を次期聖女と見なすのに、一ヶ月もかからない。

// <0665> 聖女会と理事会は事実上、分離しつつあった。
<0665> 聖女会と理事会は事実上、分離しつつあった。

// <0666> 洲崎たちからの圧力や妨害は再三あったそうだが。
<0666> 洲崎たちからの圧力や妨害は再三あったそうだが。

// <0667> 大勢の協賛者が朱音を支持した。
<0667> 大勢の協賛者が朱音を支持した。

// <0668> その最大の理由は、聖女の奇跡だ。
<0668> その最大の理由は、聖女の奇跡だ。

// <0669> 朱音は可能な限りの時間を使って、各地の療養施設や病院を巡った。
<0669> 朱音は可能な限りの時間を使って、各地の療養施設や病院を巡った。

// <0670> 回復が絶望的と言われた人々がそこにはいた。
<0670> 回復が絶望的と言われた人々がそこにはいた。

// <0671> 同行した俺は、胸が詰まるほどの過酷な現実を見た。
<0671> 同行した俺は、胸が詰まるほどの過酷な現実を見た。

// <0672> そこにいたのは、いつまでも心を持たずに体だけで育つ、世に生きられぬ人たちだ。
<0672> そこにいたのは、いつまでも心を持たずに体だけで育つ、世に生きられぬ人たちだ。

// <0673> 仮に回復したとしても、人並みに生きることなどできない。
<0673> 仮に回復したとしても、人並みに生きることなどできない。

// <0674> 朱音はそんな人々を、蘇生した。
<0674> 朱音はそんな人々を、蘇生した。

// <0675> 驚くべき奇跡だった。
<0675> 驚くべき奇跡だった。

// <0676> 朱音
<0676> 朱音

// <0677> 「…これが聖女を聖女たらしめる力よ。根っこは、魔物使いのそれと同じなのだけれど」
<0677> 「…これが聖女を聖女たらしめる力よ。根っこは、魔物使いのそれと同じなのだけれど」

// <0678> 目の前で、寝たきりの人が目覚める瞬間には、何度も立ち会っても驚かされた。
<0678> 目の前で、寝たきりの人が目覚める瞬間には、何度も立ち会っても驚かされた。

// <0679> 言葉を失った子供が話し、霞がかった老人が理性を取り戻した。
<0679> 言葉を失った子供が話し、霞がかった老人が理性を取り戻した。

// <0680> 朱音は日程の許す限り、行く先々で奇跡を行った。
<0680> 朱音は日程の許す限り、行く先々で奇跡を行った。

// <0681> 代価さえ取らない。
<0681> 代価さえ取らない。

// <0682> マスコミは徹底的に遠ざけられた。それでも人々の口に戸は立てられない。
<0682> マスコミは徹底的に遠ざけられた。それでも人々の口に戸は立てられない。

// <0683> 俺は護衛として、毎日を忙しく過ごした。
<0683> 俺は護衛として、毎日を忙しく過ごした。

// <0684> スタッフも増え、以前のような閉じた関係にとどまっているわけにもいかなくなった。
<0684> スタッフも増え、以前のような閉じた関係にとどまっているわけにもいかなくなった。

// <0685> 充実はある。
<0685> 充実はある。

// <0686> これこそ自分だけの人生だと思えた。
<0686> これこそ自分だけの人生だと思えた。

// <0687> 朱音の奇跡によって回復した人々の多くが、新たな聖女として会に集った。
<0687> 朱音の奇跡によって回復した人々の多くが、新たな聖女として会に集った。

// <0688> それはマーテルが一度は覆い隠そうとした、宗教的側面でもある。
<0688> それはマーテルが一度は覆い隠そうとした、宗教的側面でもある。

// <0689> カルトを憎悪する人々というものは多い。
<0689> カルトを憎悪する人々というものは多い。

// <0690> 悪質な新興宗教と罵る者がいた。
<0690> 悪質な新興宗教と罵る者がいた。

// <0691> 朱音を詐欺師呼ばわりする者もいた。
<0691> 朱音を詐欺師呼ばわりする者もいた。

// <0692> 本当にたまにだが、朱音に危害を加えようとする者もいた。
<0692> 本当にたまにだが、朱音に危害を加えようとする者もいた。

// <0693> そんな時は、俺の出番だった。
<0693> そんな時は、俺の出番だった。

// <0694> 暴漢の十人や二十人、ガーディアンの狩猟者に比べれば、ものの数ではない。
<0694> 暴漢の十人や二十人、ガーディアンの狩猟者に比べれば、ものの数ではない。

// <0695> 数ヶ月が瞬く間に過ぎる。
<0695> 数ヶ月が瞬く間に過ぎる。

// <0696> 半年が経ち、
<0696> 半年が経ち、

// <0697> やがて一年を迎えた。
<0697> やがて一年を迎えた。

// <0698> その日、珍しく休暇を得た俺は、あてもなく町を散策した。
<0698> その日、珍しく休暇を得た俺は、あてもなく町を散策した。

// <0699> 最近は、風祭にいることが少ない。
<0699> 最近は、風祭にいることが少ない。

// <0700> 全国各地を飛び回るような暮らしだ。
<0700> 全国各地を飛び回るような暮らしだ。

// <0701> 護衛というのは本当に慌ただしい仕事だ。
<0701> 護衛というのは本当に慌ただしい仕事だ。

// <0702> たとえばどこかのホテルに朱音と泊まるとする。
<0702> たとえばどこかのホテルに朱音と泊まるとする。

// <0703> 十数人というスタッフが、一足先にホテルをあらためる。
<0703> 十数人というスタッフが、一足先にホテルをあらためる。

// <0704> 計画は一週間も前から立てられる。
<0704> 計画は一週間も前から立てられる。

// <0705> 俺も一度は事前に現場を見る。
<0705> 俺も一度は事前に現場を見る。

// <0706> 朱音と俺が使用する部屋の隣が、作戦会議室となる。
<0706> 朱音と俺が使用する部屋の隣が、作戦会議室となる。

// <0707> そこに精鋭の魔物使いと警備スタッフが詰める。
<0707> そこに精鋭の魔物使いと警備スタッフが詰める。

// <0708> 運び込まれる機材。
<0708> 運び込まれる機材。

// <0709> スケジュールの調整。
<0709> スケジュールの調整。

// <0710> 津久野さんら聖女会との連携も、大切な仕事だ。
<0710> 津久野さんら聖女会との連携も、大切な仕事だ。

// <0711> 朱音が出歩けば、常に付き従う。周囲に目を光らせる。
<0711> 朱音が出歩けば、常に付き従う。周囲に目を光らせる。

// <0712> 今の彼女は、缶ジュースさえひとりでは買いにいけない。
<0712> 今の彼女は、缶ジュースさえひとりでは買いにいけない。

// <0713> 朱音はたまにそのことを嘆く。
<0713> 朱音はたまにそのことを嘆く。

// <0714> 激務の合間にも、次の日程が上積みにされる。
<0714> 激務の合間にも、次の日程が上積みにされる。

// <0715> 積まれる日程と競うように生きている。
<0715> 積まれる日程と競うように生きている。

// <0716> 生き方は顔に出るという。
<0716> 生き方は顔に出るという。

// <0717> 今の俺はどんな顔をしているだろう。
<0717> 今の俺はどんな顔をしているだろう。

// <0718> 切羽詰まっているだろうか。
<0718> 切羽詰まっているだろうか。

// <0719> 冷たい印象になっていないだろうか。
<0719> 冷たい印象になっていないだろうか。

// <0720> 今の俺を、お気楽な学生と思う人間はいなくなった。
<0720> 今の俺を、お気楽な学生と思う人間はいなくなった。

// <0721> 「学生さんですか？」だの「お若いですね」だのと驚かれることも減った。
<0721> 「学生さんですか？」だの「お若いですね」だのと驚かれることも減った。

// <0722> 俺は一年で、１０も老けたように見られた。
<0722> 俺は一年で、１０も老けたように見られた。

// <0723> コンビニで酒や煙草を買っても、たぶん年齢確認はされない気がした。
<0723> コンビニで酒や煙草を買っても、たぶん年齢確認はされない気がした。

// <0724> 気の向くままに歩いていたら、懐かしい場所にたどり着いた。
<0724> 気の向くままに歩いていたら、懐かしい場所にたどり着いた。

// <0725> もう関係のない場所。
<0725> もう関係のない場所。

// <0726> 俺とタメだった連中も三年生になっている頃か。
<0726> 俺とタメだった連中も三年生になっている頃か。

// <0727> 今頃は受験で大わらわだろうか。
<0727> 今頃は受験で大わらわだろうか。

// <0728> 見慣れた制服姿が行き来していた。
<0728> 見慣れた制服姿が行き来していた。

// <0729> 皆、妙に子供っぽく映る。
<0729> 皆、妙に子供っぽく映る。

// <0730> 以前はそんな風には思わなかったはずだ…
<0730> 以前はそんな風には思わなかったはずだ…

// <0731> 俺の方が変わったのだろう。
<0731> 俺の方が変わったのだろう。

// <0732> 吉野
<0732> 吉野

// <0733> 「…！」
<0733> 「…！」

// <0734> 瑚太朗
<0734> 瑚太朗

// <0735> 「…」
<0735> 「…」

// <0736> そうか…
<0736> そうか…

// <0737> こいつともいろいろあった。
<0737> こいつともいろいろあった。

// <0738> そして、何ともならずに終わった。
<0738> そして、何ともならずに終わった。

// <0739> 相容れなかった、というほどにも、深くつきあってはいない。
<0739> 相容れなかった、というほどにも、深くつきあってはいない。

// <0740> そう。
<0740> そう。

// <0741> 俺とこいつは、失敗した。
<0741> 俺とこいつは、失敗した。

// <0742> 友達にもライバルにもなれず。
<0742> 友達にもライバルにもなれず。

// <0743> ただ失敗した。
<0743> ただ失敗した。

// <0744> それだけのこと。
<0744> それだけのこと。

// <0745> かける言葉などない。受ける言葉もないはずだ。
<0745> かける言葉などない。受ける言葉もないはずだ。

// <0746> 背を向けた。
<0746> 背を向けた。

// <0747> 吉野
<0747> 吉野

// <0748> 「…おい」
<0748> 「…おい」

// <0749> 向こうは、そこまでドライではなかった。
<0749> 向こうは、そこまでドライではなかった。

// <0750> 吉野
<0750> 吉野

// <0751> 「…神戸がいなくなってんだぞ…おい、待てよテメェ…」
<0751> 「…神戸がいなくなってんだぞ…おい、待てよテメェ…」

// <0752> 吉野
<0752> 吉野

// <0753> 「待てよ…」
<0753> 「待てよ…」

// <0754> 知っている。
<0754> 知っている。

// <0755> 小鳥はあれ以来、行方不明のままだ。
<0755> 小鳥はあれ以来、行方不明のままだ。

// <0756> 小鳥だけじゃない。
<0756> 小鳥だけじゃない。

// <0757> 静流やルチアもそう。
<0757> 静流やルチアもそう。

// <0758> 調べてもらったし、自分でも調べた。
<0758> 調べてもらったし、自分でも調べた。

// <0759> 興信所からのレポートはこう結ばれていた。
<0759> 興信所からのレポートはこう結ばれていた。

// <0760> これ以上の調査不能。
<0760> これ以上の調査不能。

// <0761> その結果に、実はほっとしたものだ。
<0761> その結果に、実はほっとしたものだ。

// <0762> 調べすぎて、知りたくもないことを知りたくはなかった。
<0762> 調べすぎて、知りたくもないことを知りたくはなかった。

// <0763> 誰が、どの勢力に属しているとか、そういうことを知りたくはなかった。
<0763> 誰が、どの勢力に属しているとか、そういうことを知りたくはなかった。

// <0764> ふと背後に何者かが立った。
<0764> ふと背後に何者かが立った。

// <0765> …そいつは少しばかり、こわい。
<0765> …そいつは少しばかり、こわい。

// <0766> こわいが、それだけ。どうとでもできる相手。
<0766> こわいが、それだけ。どうとでもできる相手。

// <0767> 瑚太朗
<0767> 瑚太朗

// <0768> 「なんか御用？」
<0768> 「なんか御用？」

// <0769> ？？？
<0769> ？？？

// <0770> 「…私のこと、覚えてる、天王寺」
<0770> 「…私のこと、覚えてる、天王寺」

// <0771> 瑚太朗
<0771> 瑚太朗

// <0772> 「その声…」
<0772> 「その声…」

// <0773> ぎょっとして振り向く。
<0773> ぎょっとして振り向く。

// <0774> 瑚太朗
<0774> 瑚太朗

// <0775> 「西九条先生…？」
<0775> 「西九条先生…？」

// <0776> ひどく悲しげな顔をした先生が、そこにいた。
<0776> ひどく悲しげな顔をした先生が、そこにいた。

// <0777> 西九条
<0777> 西九条

// <0778> 「先生…か。なるほどね」
<0778> 「先生…か。なるほどね」

// <0779> 西九条
<0779> 西九条

// <0780> 「…久しぶりね天王寺君。一年ぶり？」
<0780> 「…久しぶりね天王寺君。一年ぶり？」

// <0781> 瑚太朗
<0781> 瑚太朗

// <0782> 「はい、ご無沙汰してます」
<0782> 「はい、ご無沙汰してます」

// <0783> 瑚太朗
<0783> 瑚太朗

// <0784> 「俺は中退してしまいましたけど、その節はどうもお世話になりました」
<0784> 「俺は中退してしまいましたけど、その節はどうもお世話になりました」

// <0785> 瑚太朗
<0785> 瑚太朗

// <0786> 「今はなんとかうまくやってます」
<0786> 「今はなんとかうまくやってます」

// <0787> 西九条
<0787> 西九条

// <0788> 「…」
<0788> 「…」

// <0789> 西九条
<0789> 西九条

// <0790> 「人間は害毒でしかない」
<0790> 「人間は害毒でしかない」

// <0791> 瑚太朗
<0791> 瑚太朗

// <0792> 「え？」
<0792> 「え？」

// <0793> 西九条
<0793> 西九条

// <0794> 「人の活動は、環境を汚染するものだから」
<0794> 「人の活動は、環境を汚染するものだから」

// <0795> 瑚太朗
<0795> 瑚太朗

// <0796> 「…先生、なんの話です？」
<0796> 「…先生、なんの話です？」

// <0797> 疑問をよそに、先生は淡々と語り続ける。
<0797> 疑問をよそに、先生は淡々と語り続ける。

// <0798> ふたりの距離が遠い。
<0798> ふたりの距離が遠い。

// <0799> １０メートルも離れている。
<0799> １０メートルも離れている。

// <0800> なぜもっと近寄ってこないのか。
<0800> なぜもっと近寄ってこないのか。

// <0801> まるで。
<0801> まるで。

// <0802> まるで…この距離は…
<0802> まるで…この距離は…

// <0803> 西九条
<0803> 西九条

// <0804> 「人間は傲慢で、独善的で、残酷」
<0804> 「人間は傲慢で、独善的で、残酷」

// <0805> 西九条
<0805> 西九条

// <0806> 「それは確かに罪よね」
<0806> 「それは確かに罪よね」

// <0807> 西九条
<0807> 西九条

// <0808> 「でも天王寺君」
<0808> 「でも天王寺君」

// <0809> 西九条
<0809> 西九条

// <0810> 「…それでも、人は生きるべきなの」
<0810> 「…それでも、人は生きるべきなの」

// <0811> 瑚太朗
<0811> 瑚太朗

// <0812> 「…」
<0812> 「…」

// <0813> 西九条
<0813> 西九条

// <0814> 「どんなに罪深くとも、他を犠牲にしようとも」
<0814> 「どんなに罪深くとも、他を犠牲にしようとも」

// <0815> 西九条
<0815> 西九条

// <0816> 「意地汚く、生きるべきなの」
<0816> 「意地汚く、生きるべきなの」

// <0817> 瑚太朗
<0817> 瑚太朗

// <0818> 「………」
<0818> 「………」

// <0819> 瑚太朗
<0819> 瑚太朗

// <0820> 「でも先生、もし今のままいけば、世界があと３０年もたないとなったらどうでしょう？」
<0820> 「でも先生、もし今のままいけば、世界があと３０年もたないとなったらどうでしょう？」

// <0821> 西九条
<0821> 西九条

// <0822> 「変わらないわ。それでも人は生きるべきよ。最後まで」
<0822> 「変わらないわ。それでも人は生きるべきよ。最後まで」

// <0823> 西九条
<0823> 西九条

// <0824> 「人が人を犠牲にすることは許されないわ」
<0824> 「人が人を犠牲にすることは許されないわ」

// <0825> 瑚太朗
<0825> 瑚太朗

// <0826> 「それはおかしいな。人は人を虐げてますよね？」
<0826> 「それはおかしいな。人は人を虐げてますよね？」

// <0827> 西九条
<0827> 西九条

// <0828> 「…今すぐ皆が幸せになれないのは認めます」
<0828> 「…今すぐ皆が幸せになれないのは認めます」

// <0829> 西九条
<0829> 西九条

// <0830> 「だとしても私たちは、進んでいかなければならない」
<0830> 「だとしても私たちは、進んでいかなければならない」

// <0831> 西九条
<0831> 西九条

// <0832> 「無実の人々の暮らしまで滅ぼし去る権利は、誰にもないはずよ」
<0832> 「無実の人々の暮らしまで滅ぼし去る権利は、誰にもないはずよ」

// <0833> 瑚太朗
<0833> 瑚太朗

// <0834> 「ありますよ。たとえばこの地球には」
<0834> 「ありますよ。たとえばこの地球には」

// <0835> 西九条
<0835> 西九条

// <0836> 「それは…」
<0836> 「それは…」

// <0837> 瑚太朗
<0837> 瑚太朗

// <0838> 「地球に魂があったなら、人類にはＮＧを出すでしょうね」
<0838> 「地球に魂があったなら、人類にはＮＧを出すでしょうね」

// <0839> 西九条
<0839> 西九条

// <0840> 「だけど、私たちには星を救うための努力だってできるはずだわ」
<0840> 「だけど、私たちには星を救うための努力だってできるはずだわ」

// <0841> 瑚太朗
<0841> 瑚太朗

// <0842> 「現実味のない話ですよ。精神論、理想論だ」
<0842> 「現実味のない話ですよ。精神論、理想論だ」

// <0843> 西九条
<0843> 西九条

// <0844> 「…今は望み薄だとしても、最後まで諦めないでいれば…いつか必ず達成できる」
<0844> 「…今は望み薄だとしても、最後まで諦めないでいれば…いつか必ず達成できる」

// <0845> 瑚太朗
<0845> 瑚太朗

// <0846> 「いいや、決してできません」
<0846> 「いいや、決してできません」

// <0847> 西九条
<0847> 西九条

// <0848> 「できるわ。それこそが人の強さなのだから」
<0848> 「できるわ。それこそが人の強さなのだから」

// <0849> 西九条
<0849> 西九条

// <0850> 「教師としての私は、それを皆に教えてあげたいと思っているの」
<0850> 「教師としての私は、それを皆に教えてあげたいと思っているの」

// <0851> 西九条
<0851> 西九条

// <0852> 「人の美しさ、生きる意思のすばらしさを」
<0852> 「人の美しさ、生きる意思のすばらしさを」

