// <0000> 
<0000> 

// <0001> 静流が倒れて病院に担ぎ込まれたと、ルチアから連絡があった。
<0001> 静流が倒れて病院に担ぎ込まれたと、ルチアから連絡があった。

// <0892> 瑚太朗
<0892> 瑚太朗

// <0893> 「最高に無様にやられてましたけど」
<0893> 「最高に無様にやられてましたけど」

// <0894> 西九条
<0894> 西九条

// <0895> 「うぅん、最高に大健闘よ。何の訓練も受けない一般市民が、特四相手に５秒持ち堪えるなんてね」
<0895> 「うぅん、最高に大健闘よ。何の訓練も受けない一般市民が、特四相手に５秒持ち堪えるなんてね」

// <0896> 瑚太朗
<0896> 瑚太朗

// <0897> 「……ルチアたちは普段、あんなバケモノと戦ってるんですか」
<0897> 「……ルチアたちは普段、あんなバケモノと戦ってるんですか」

// <0898> 西九条
<0898> 西九条

// <0899> 「たまにね」
<0899> 「たまにね」

// <0900> 事も無げに言うのを見て、……何かぞっとするものが背中に込み上げるのを感じた。
<0900> 事も無げに言うのを見て、……何かぞっとするものが背中に込み上げるのを感じた。

// <0901> …ルチアや静流は、こんな世界に身を置いて、……戦っているのだ。
<0901> …ルチアや静流は、こんな世界に身を置いて、……戦っているのだ。

// <0902> 西九条先生の車で、家まで送ってもらうことになった。
<0902> 西九条先生の車で、家まで送ってもらうことになった。

// <0903> 次第に明けつつある夜空は、薄い紫色に染まりつつある…。
<0903> 次第に明けつつある夜空は、薄い紫色に染まりつつある…。

// <0904> 本来、夜明けとは新しい一日を、良い意味で感じさせるものだ。
<0904> 本来、夜明けとは新しい一日を、良い意味で感じさせるものだ。

// <0905> しかしこの夜明けだけは、……何か取り返しのつかない事態が始まりつつあることを想起させる、不吉なものに思えた。
<0905> しかしこの夜明けだけは、……何か取り返しのつかない事態が始まりつつあることを想起させる、不吉なものに思えた。

// <0906> 西九条
<0906> 西九条

// <0907> 「静流ちゃんの家も襲われてたそうよ。……二人とも入院しててくれたのは、本当に不幸中の幸いね」
<0907> 「静流ちゃんの家も襲われてたそうよ。……二人とも入院しててくれたのは、本当に不幸中の幸いね」

// <0908> 瑚太朗
<0908> 瑚太朗

// <0909> 「静流の家まで！？　一体、何が起こってるんですか…！」
<0909> 「静流の家まで！？　一体、何が起こってるんですか…！」

// <0910> 西九条
<0910> 西九条

// <0911> 「ガイアの一斉攻撃よ」
<0911> 「ガイアの一斉攻撃よ」

// <0912> 西九条
<0912> 西九条

// <0913> 「“鍵”の確保を目前に、邪魔者を一掃したかったんでしょうよ」
<0913> 「“鍵”の確保を目前に、邪魔者を一掃したかったんでしょうよ」

// <0914> 西九条
<0914> 西九条

// <0915> 「これは完全な宣戦布告ね。直ちに戦闘部隊を再編成しないと」
<0915> 「これは完全な宣戦布告ね。直ちに戦闘部隊を再編成しないと」

// <0916> 瑚太朗
<0916> 瑚太朗

// <0917> 「……ルチアはどうしてるんですか。どうなるんですか」
<0917> 「……ルチアはどうしてるんですか。どうなるんですか」

// <0918> 早く抑制剤なり治療なりの目処が立って、解放されてほしいと思う。
<0918> 早く抑制剤なり治療なりの目処が立って、解放されてほしいと思う。

// <0919> しかし、解放されれば、ガイアとの死闘に再び身を投じなければならない…。
<0919> しかし、解放されれば、ガイアとの死闘に再び身を投じなければならない…。

// <0920> 西九条
<0920> 西九条

// <0921> 「大丈夫よ、あんな状態の彼女を前線に引きずり戻すほど、私は冷酷じゃない」
<0921> 「大丈夫よ、あんな状態の彼女を前線に引きずり戻すほど、私は冷酷じゃない」

// <0922> 西九条
<0922> 西九条

// <0923> 「“鍵”を巡る一連の騒動には駆り出さないから安心して」
<0923> 「“鍵”を巡る一連の騒動には駆り出さないから安心して」

// <0924> 瑚太朗
<0924> 瑚太朗

// <0925> 「“鍵”を巡る一連の騒動、……ですか」
<0925> 「“鍵”を巡る一連の騒動、……ですか」

// <0926> 瑚太朗
<0926> 瑚太朗

// <0927> 「……“鍵”って、……本当に世界を滅ぼせるんですか…？　何だか、あまりに眉唾な話で……」
<0927> 「……“鍵”って、……本当に世界を滅ぼせるんですか…？　何だか、あまりに眉唾な話で……」

// <0928> 西九条
<0928> 西九条

// <0929> 「えぇ、本当よ。都市一つを滅ぼすくらいは容易に出来るわ」
<0929> 「えぇ、本当よ。都市一つを滅ぼすくらいは容易に出来るわ」

// <0930> 西九条
<0930> 西九条

// <0931> 「……人類の有史以来、都市を丸ごと飲み込んだ歴史的な災害がいくつかあるでしょう？」
<0931> 「……人類の有史以来、都市を丸ごと飲み込んだ歴史的な災害がいくつかあるでしょう？」

// <0932> 西九条
<0932> 西九条

// <0933> 「あれのうちのいくつかは、その時代に出現出没した“鍵”が引き起こしたものよ」
<0933> 「あれのうちのいくつかは、その時代に出現出没した“鍵”が引き起こしたものよ」

// <0934> 瑚太朗
<0934> 瑚太朗

// <0935> 「ほ、本当ですか…」
<0935> 「ほ、本当ですか…」

// <0936> 西九条
<0936> 西九条

// <0937> 「無知な大衆をいたずらに怯えさせないために、知識層たちが情報を規制してるだけよ」
<0937> 「無知な大衆をいたずらに怯えさせないために、知識層たちが情報を規制してるだけよ」

// <0938> 西九条
<0938> 西九条

// <0939> 「地球の内部から、莫大なエネルギーを持った、人の姿をした“御使い”が現れるという伝説…」
<0939> 「地球の内部から、莫大なエネルギーを持った、人の姿をした“御使い”が現れるという伝説…」

// <0940> 西九条
<0940> 西九条

// <0941> 「それは世界各地のあらゆる時代の文明に存在するわ。……ソドムとゴモラの伝説は知ってる？」
<0941> 「それは世界各地のあらゆる時代の文明に存在するわ。……ソドムとゴモラの伝説は知ってる？」

// <0942> 瑚太朗
<0942> 瑚太朗

// <0943> 「神様が町を滅ぼしたっていう話ですよね」
<0943> 「神様が町を滅ぼしたっていう話ですよね」

// <0944> 西九条
<0944> 西九条

// <0945> 「神の怒りに触れた都市、ソドムとゴモラを、神より遣わされた“御使い”が滅ぼしたとされてる」
<0945> 「神の怒りに触れた都市、ソドムとゴモラを、神より遣わされた“御使い”が滅ぼしたとされてる」

// <0946> 西九条
<0946> 西九条

// <0947> 「つまり人類は“鍵”の存在とその恐ろしいエネルギーを、数千年以上前から知っているわけ」
<0947> 「つまり人類は“鍵”の存在とその恐ろしいエネルギーを、数千年以上前から知っているわけ」

// <0948> 西九条
<0948> 西九条

// <0949> 「近年の事件だと……。…そうね、１９０４年のツングースカ事件って知ってる？」
<0949> 「近年の事件だと……。…そうね、１９０４年のツングースカ事件って知ってる？」

// <0950> 瑚太朗
<0950> 瑚太朗

// <0951> 「シベリアに隕石が落ちて、森の木が放射状になぎ倒された事件でしたっけ？」
<0951> 「シベリアに隕石が落ちて、森の木が放射状になぎ倒された事件でしたっけ？」

// <0952> 西九条
<0952> 西九条

// <0953> 「あれも“鍵”が起こした爆発なのよ。いえ、エネルギーの放出と言うべきかしら」
<0953> 「あれも“鍵”が起こした爆発なのよ。いえ、エネルギーの放出と言うべきかしら」

// <0954> 西九条
<0954> 西九条

// <0955> 「その威力はＴＮＴ換算で推定１５メガトン」
<0955> 「その威力はＴＮＴ換算で推定１５メガトン」

// <0956> 西九条
<0956> 西九条

// <0957> 「ざっと、広島型原爆の１０００倍ってとこね。……歩く原爆。それが“鍵”というものよ」
<0957> 「ざっと、広島型原爆の１０００倍ってとこね。……歩く原爆。それが“鍵”というものよ」

// <0958> 瑚太朗
<0958> 瑚太朗

// <0959> 「……歩く原爆…」
<0959> 「……歩く原爆…」

// <0960> 西九条
<0960> 西九条

// <0961> 「ガイアはその歩く原爆と、宗教的な対話が出来ると妄信してる」
<0961> 「ガイアはその歩く原爆と、宗教的な対話が出来ると妄信してる」

// <0962> 西九条
<0962> 西九条

// <0963> 「地球と人類を正しい方向へ導いてくれると信じてるのよ。……はっ、おめでたい連中だわ」
<0963> 「地球と人類を正しい方向へ導いてくれると信じてるのよ。……はっ、おめでたい連中だわ」

// <0964> 瑚太朗
<0964> 瑚太朗

// <0965> 「そんなヤツと対話なんて出来るんですか…」
<0965> 「そんなヤツと対話なんて出来るんですか…」

// <0966> 西九条
<0966> 西九条

// <0967> 「ロトは御使いと対話したと書かれてる。連中は恐らく、それを根拠にしてるんでしょうね」
<0967> 「ロトは御使いと対話したと書かれてる。連中は恐らく、それを根拠にしてるんでしょうね」

// <0968> 西九条
<0968> 西九条

// <0969> 「……箱舟伝説のノアもまた、“鍵”の接触を受け、箱舟建造を命じられてる」
<0969> 「……箱舟伝説のノアもまた、“鍵”の接触を受け、箱舟建造を命じられてる」

// <0970> 西九条
<0970> 西九条

// <0971> 「この時の“鍵”は原爆どころの騒ぎじゃない」
<0971> 「この時の“鍵”は原爆どころの騒ぎじゃない」

// <0972> 瑚太朗
<0972> 瑚太朗

// <0973> 「……ノアの箱舟の話だと、……洪水、でしたっけ」
<0973> 「……ノアの箱舟の話だと、……洪水、でしたっけ」

// <0974> 西九条
<0974> 西九条

// <0975> 「正解。４０日４０夜の間、洪水が続き、地上の生けるもの全てを滅ぼし尽くした」
<0975> 「正解。４０日４０夜の間、洪水が続き、地上の生けるもの全てを滅ぼし尽くした」

// <0976> 西九条
<0976> 西九条

// <0977> 「“鍵”はノアという例外を除き、旧人類と地上の全文明を一掃したのよ」
<0977> 「“鍵”はノアという例外を除き、旧人類と地上の全文明を一掃したのよ」

// <0978> 西九条
<0978> 西九条

// <0979> 「これが、記録に残る最古の、“鍵”と人類の接触だと言われてるわ」
<0979> 「これが、記録に残る最古の、“鍵”と人類の接触だと言われてるわ」

// <0980> 瑚太朗
<0980> 瑚太朗

// <0981> 「………何て、…こった……」
<0981> 「………何て、…こった……」

// <0982> 西九条
<0982> 西九条

// <0983> 「その上ね。最新の研究では、氷河期についても、人類の理解できるあらゆる学問で説明が不可能であるとする説が台頭してるの」
<0983> 「その上ね。最新の研究では、氷河期についても、人類の理解できるあらゆる学問で説明が不可能であるとする説が台頭してるの」

// <0984> 西九条
<0984> 西九条

// <0985> 「特に７億年前のマリノア氷期、４億５千万年前のアンデス－サハラ氷期の２つはね、疑問視されてる」
<0985> 「特に７億年前のマリノア氷期、４億５千万年前のアンデス－サハラ氷期の２つはね、疑問視されてる」

// <0986> 西九条
<0986> 西九条

// <0987> 「当時の大気組成、地球の軌道、あらゆる点からも、この２つの氷河期は、明らかに不自然で異常だとされてるの」
<0987> 「当時の大気組成、地球の軌道、あらゆる点からも、この２つの氷河期は、明らかに不自然で異常だとされてるの」

// <0988> 瑚太朗
<0988> 瑚太朗

// <0989> 「氷河期も“鍵”の仕業だと言うんですか…？　いくらなんでも…」
<0989> 「氷河期も“鍵”の仕業だと言うんですか…？　いくらなんでも…」

// <0990> 西九条
<0990> 西九条

// <0991> 「くす。そうね。ここまではさすがにどうかと思う」
<0991> 「くす。そうね。ここまではさすがにどうかと思う」

// <0992> 西九条
<0992> 西九条

// <0993> 「しかし、マリノア氷期はカンブリア爆発へと続き、旧世代生物の滅亡した新世界に、次世代の生物を生み出した」
<0993> 「しかし、マリノア氷期はカンブリア爆発へと続き、旧世代生物の滅亡した新世界に、次世代の生物を生み出した」

// <0994> 西九条
<0994> 西九条

// <0995> 「そしてアンデス－サハラ氷期もまた、恐竜時代を終わらせ、我々人類を誕生させた」
<0995> 「そしてアンデス－サハラ氷期もまた、恐竜時代を終わらせ、我々人類を誕生させた」

// <0996> 西九条
<0996> 西九条

// <0997> 「古き旧世界を滅ぼし、新しき世界を創造する……」
<0997> 「古き旧世界を滅ぼし、新しき世界を創造する……」

// <0998> 西九条
<0998> 西九条

// <0999> 「……そうよ。聖書に描かれている数々の伝説はね、せいぜい人類が知り得る数千年程度のことしか書いていない」
<0999> 「……そうよ。聖書に描かれている数々の伝説はね、せいぜい人類が知り得る数千年程度のことしか書いていない」

// <1000> 西九条
<1000> 西九条

// <1001> 「しかし、数億年の太古から、同じことは何度も繰り返されているの」
<1001> 「しかし、数億年の太古から、同じことは何度も繰り返されているの」

// <1002> 西九条
<1002> 西九条

// <1003> 「人類さえも、その繰り返しの中で生み出された、一つの世代を任された生物に過ぎない」
<1003> 「人類さえも、その繰り返しの中で生み出された、一つの世代を任された生物に過ぎない」

// <1004> 瑚太朗
<1004> 瑚太朗

// <1005> 「……………」
<1005> 「……………」

// <1006> 西九条
<1006> 西九条

// <1007> 「どう、わかってきた？　“鍵”というのがどういう存在か」
<1007> 「どう、わかってきた？　“鍵”というのがどういう存在か」

// <1008> ルチアに聞かされた時には、何となく納得はしたものの、どこか現実感がなかった。
<1008> ルチアに聞かされた時には、何となく納得はしたものの、どこか現実感がなかった。

// <1009> しかし、西九条先生の話は、……突拍子過ぎて、……それが逆に、これがふざけた話でも何でもないことを、ただ冷酷に教えてくれた。
<1009> しかし、西九条先生の話は、……突拍子過ぎて、……それが逆に、これがふざけた話でも何でもないことを、ただ冷酷に教えてくれた。

// <1010> 瑚太朗
<1010> 瑚太朗

// <1011> 「その“鍵”が今、…風祭市にいて、……ガイアがもうじき、手中に収めようとしている…」
<1011> 「その“鍵”が今、…風祭市にいて、……ガイアがもうじき、手中に収めようとしている…」

// <1012> 西九条
<1012> 西九条

// <1013> 「……もうじき収穫祭ね」
<1013> 「……もうじき収穫祭ね」

// <1014> 瑚太朗
<1014> 瑚太朗

// <1015> 「え？　そうですね。……それと何か関係が？」
<1015> 「え？　そうですね。……それと何か関係が？」

// <1016> 西九条
<1016> 西九条

// <1017> 「今年も大盛況でしょうね。……きっと今年も、百万人近くの人間が訪れるわ」
<1017> 「今年も大盛況でしょうね。……きっと今年も、百万人近くの人間が訪れるわ」

// <1018> 西九条
<1018> 西九条

// <1019> 「もしそこで、一斉にガイアがアクションを起こしたら、コントロール不能の百万人は全ての交通手段と警察、消防を麻痺させるわ」
<1019> 「もしそこで、一斉にガイアがアクションを起こしたら、コントロール不能の百万人は全ての交通手段と警察、消防を麻痺させるわ」

// <1020> 西九条
<1020> 西九条

// <1021> 「そうなれば、司令部が大慌てで応援を送り込もうとしても、大きく出遅れることになる」
<1021> 「そうなれば、司令部が大慌てで応援を送り込もうとしても、大きく出遅れることになる」

// <1022> 西九条
<1022> 西九条

// <1023> 「……私がガイアの参謀だったら、収穫祭の当日に行動を起こすよう進言するわ。……今夜の攻撃はその先制攻撃よ」
<1023> 「……私がガイアの参謀だったら、収穫祭の当日に行動を起こすよう進言するわ。……今夜の攻撃はその先制攻撃よ」

// <1024> 西九条
<1024> 西九条

// <1025> 「そして、これだけやられても、司令部は手を打てないと完全に見透かされてる」
<1025> 「そして、これだけやられても、司令部は手を打てないと完全に見透かされてる」

// <1026> 西九条
<1026> 西九条

// <1027> 「………私たちの戦いは、今夜の時点ですでに敗北しているのよ」
<1027> 「………私たちの戦いは、今夜の時点ですでに敗北しているのよ」

// <1028> 瑚太朗
<1028> 瑚太朗

// <1029> 「お、……俺に出来ることはないんですか」
<1029> 「お、……俺に出来ることはないんですか」

// <1030> 西九条
<1030> 西九条

// <1031> 「逃げて。収穫祭までに、風祭市から」
<1031> 「逃げて。収穫祭までに、風祭市から」

// <1032> 瑚太朗
<1032> 瑚太朗

// <1033> 「ルチアは？」
<1033> 「ルチアは？」

// <1034> 西九条
<1034> 西九条

// <1035> 「彼女の受け入れ先は、残念ながら見つかってないの。彼女を隔離できる設備を持つ施設は多くないわ」
<1035> 「彼女の受け入れ先は、残念ながら見つかってないの。彼女を隔離できる設備を持つ施設は多くないわ」

// <1036> 瑚太朗
<1036> 瑚太朗

// <1037> 「…………」
<1037> 「…………」

// <1038> “鍵”が世界を揺るがす大事件の、文字通り“鍵”となるならば、どこへ逃げたって意味なんかない。
<1038> “鍵”が世界を揺るがす大事件の、文字通り“鍵”となるならば、どこへ逃げたって意味なんかない。

// <1039> それに、ルチアが逃げられないなら、最初から迷う意味なんてない。俺の答えは一つだ。
<1039> それに、ルチアが逃げられないなら、最初から迷う意味なんてない。俺の答えは一つだ。

// <1040> 瑚太朗
<1040> 瑚太朗

// <1041> 「俺に。逃げる以外で出来ることはないんですか」
<1041> 「俺に。逃げる以外で出来ることはないんですか」

// <1042> 瑚太朗
<1042> 瑚太朗

// <1043> 「……さっきはあんなザマでしたけど、…戦えって言われれば、その覚悟はありますよ」
<1043> 「……さっきはあんなザマでしたけど、…戦えって言われれば、その覚悟はありますよ」

// <1044> 西九条
<1044> 西九条

// <1045> 「君が戦ってるなんて聞いたら、ルチアちゃんは休んでられないわよ」
<1045> 「君が戦ってるなんて聞いたら、ルチアちゃんは休んでられないわよ」

// <1046> 西九条
<1046> 西九条

// <1047> 「それに、天王寺君には天王寺君にしか出来ない仕事があるわ」
<1047> 「それに、天王寺君には天王寺君にしか出来ない仕事があるわ」

// <1048> 瑚太朗
<1048> 瑚太朗

// <1049> 「何ですか」
<1049> 「何ですか」

// <1050> バカね、と西九条先生はくすりと笑う。
<1050> バカね、と西九条先生はくすりと笑う。

// <1051> 西九条
<1051> 西九条

// <1052> 「ルチアちゃんは今、療養中じゃない。そして主治医は君よ」
<1052> 「ルチアちゃんは今、療養中じゃない。そして主治医は君よ」

// <1053> 西九条
<1053> 西九条

// <1054> 「薬じゃなくて、携帯電話で治療するの。そうでしょう？」
<1054> 「薬じゃなくて、携帯電話で治療するの。そうでしょう？」

// <1055> 瑚太朗
<1055> 瑚太朗

// <1056> 「あ、…はいっ」
<1056> 「あ、…はいっ」

// <1057> 西九条
<1057> 西九条

// <1058> 「肉声が一番だけど、たまにはメールもね」
<1058> 「肉声が一番だけど、たまにはメールもね」

// <1059> 西九条
<1059> 西九条

// <1060> 「女の子は心底嬉しいメールはロックを掛けて、大切な宝物にしてるものよ」
<1060> 「女の子は心底嬉しいメールはロックを掛けて、大切な宝物にしてるものよ」

// <1061> 西九条
<1061> 西九条

// <1062> 「そんなメールをね、本当に辛い時に見ると。……不味い酒を空にするよりもね。救われるのよ」
<1062> 「そんなメールをね、本当に辛い時に見ると。……不味い酒を空にするよりもね。救われるのよ」

// <1063> 瑚太朗
<1063> 瑚太朗

// <1064> 「……はいっ」
<1064> 「……はいっ」

// <1065> 助手席ですぐに携帯を開け、ルチア宛てにメールを打つ。
<1065> 助手席ですぐに携帯を開け、ルチア宛てにメールを打つ。

// <1066> 携帯を充電してすぐに受信してもらえるように。
<1066> 携帯を充電してすぐに受信してもらえるように。

// <1067> 今のルチアには、一秒でも早く誰かの支えが必要なんだ。
<1067> 今のルチアには、一秒でも早く誰かの支えが必要なんだ。

// <1068> ……誰かじゃない。俺の支えが必要なんだ…。
<1068> ……誰かじゃない。俺の支えが必要なんだ…。

// <1069> ルチアは、その小さな肩に、ずっとこれだけの任務と責任を背負ってきた。
<1069> ルチアは、その小さな肩に、ずっとこれだけの任務と責任を背負ってきた。

// <1070> その上、おかしな体にされて、ずっとずっと孤独だったんだ…。
<1070> その上、おかしな体にされて、ずっとずっと孤独だったんだ…。

// <1071> それらを全て背負うには、ルチアの肩は小さ過ぎる。
<1071> それらを全て背負うには、ルチアの肩は小さ過ぎる。

// <1072> 瑚太朗
<1072> 瑚太朗

// <1073> 「俺、最後まで町から逃げませんから」
<1073> 「俺、最後まで町から逃げませんから」

// <1074> 西九条
<1074> 西九条

// <1075> 「頼もしいわね。……早くルチアちゃんの抑制剤の件も、目処がつくといいんだけど」
<1075> 「頼もしいわね。……早くルチアちゃんの抑制剤の件も、目処がつくといいんだけど」

// <1076> 瑚太朗
<1076> 瑚太朗

// <1077> 「目処って？」
<1077> 「目処って？」

// <1078> 西九条
<1078> 西九条

// <1079> 「……検査の結果。彼女の毒性を抑えていた抑制剤の効果が、著しく低下していたことがわかったの」
<1079> 「……検査の結果。彼女の毒性を抑えていた抑制剤の効果が、著しく低下していたことがわかったの」

// <1080> 瑚太朗
<1080> 瑚太朗

// <1081> 「それは以前のような、抑制剤の不手際ではなく？」
<1081> 「それは以前のような、抑制剤の不手際ではなく？」

// <1082> 西九条
<1082> 西九条

// <1083> 「抑制剤は正常。なのに、ルチアちゃんの体への効き目が低下しているの」
<1083> 「抑制剤は正常。なのに、ルチアちゃんの体への効き目が低下しているの」

// <1084> 西九条
<1084> 西九条

// <1085> 「……もともとの抑制剤の限界なのか。それともルチアちゃんの体が変化しているのか。さらに検査しないとわからないけれど」
<1085> 「……もともとの抑制剤の限界なのか。それともルチアちゃんの体が変化しているのか。さらに検査しないとわからないけれど」

// <1086> 瑚太朗
<1086> 瑚太朗

// <1087> 「つまり、新しい抑制剤が開発できないと、……ルチアは二度と表に出られないということですか」
<1087> 「つまり、新しい抑制剤が開発できないと、……ルチアは二度と表に出られないということですか」

// <1088> 西九条
<1088> 西九条

// <1089> 「そういうことよ。……安心して。ルチアちゃんの健康にはまったく問題ないそうだから」
<1089> 「そういうことよ。……安心して。ルチアちゃんの健康にはまったく問題ないそうだから」

// <1090> ルチアの体の毒は、これまでの抑制剤ではもう、抑えられなくなっている。
<1090> ルチアの体の毒は、これまでの抑制剤ではもう、抑えられなくなっている。

// <1091> とうとう静流までも、その毒で冒してしまったのに、……ルチア自身は、普通に健康なのだ。
<1091> とうとう静流までも、その毒で冒してしまったのに、……ルチア自身は、普通に健康なのだ。

// <1092> 瑚太朗
<1092> 瑚太朗

// <1093> 「あいつの健康に問題なくても、……あいつの周りの人間には……」
<1093> 「あいつの健康に問題なくても、……あいつの周りの人間には……」

// <1094> 西九条
<1094> 西九条

// <1095> 「そういうことね。……現在、彼女を隔離室から出せる目処は、まったく立っていないわ」
<1095> 「そういうことね。……現在、彼女を隔離室から出せる目処は、まったく立っていないわ」

// <1096> 
<1096> 

// <1097> ルチアは、あの真っ白な隔離室に、今日も閉じ込められている…。
<1097> ルチアは、あの真っ白な隔離室に、今日も閉じ込められている…。

// <1098> リクライニングベッドで上半身を起こした彼女は、左腕に点滴を受けている。
<1098> リクライニングベッドで上半身を起こした彼女は、左腕に点滴を受けている。

// <1099> 目の前には簡易デスクがあり、そこには、破線で手の形が書かれた試験紙が置かれていた。
<1099> 目の前には簡易デスクがあり、そこには、破線で手の形が書かれた試験紙が置かれていた。

// <1100> 研究員Ａ
<1100> 研究員Ａ

// <1101> 「１時間が経過した。ルチア、体調に変わったところはあるかい？」
<1101> 「１時間が経過した。ルチア、体調に変わったところはあるかい？」

// <1102> ルチア
<1102> ルチア

// <1103> 『……いいえ』
<1103> 『……いいえ』

// <1104> 研究員Ａ
<1104> 研究員Ａ

// <1105> 「よし、また同じテストだ。その試験紙の手形に合わせて手を置いてくれ」
<1105> 「よし、また同じテストだ。その試験紙の手形に合わせて手を置いてくれ」

// <1106> ルチア
<1106> ルチア

// <1107> 『……はい…』
<1107> 『……はい…』

// <1108> その瞳は暗く濁っている。
<1108> その瞳は暗く濁っている。

// <1109> 希望がもしも瞳で輝くものなら。…それは全て失われていた。
<1109> 希望がもしも瞳で輝くものなら。…それは全て失われていた。

// <1110> 右手を試験紙に押し当てると、……それはじわりと手形に色を変える。
<1110> 右手を試験紙に押し当てると、……それはじわりと手形に色を変える。

// <1111> 黄色から赤を経て、……最後には毒々しい紫色に、手形をくっきりと浮かび上がらせた。
<1111> 黄色から赤を経て、……最後には毒々しい紫色に、手形をくっきりと浮かび上がらせた。

// <1112> 研究員Ａ
<1112> 研究員Ａ

// <1113> 「……何てこった…」
<1113> 「……何てこった…」

// <1114> 研究員Ｂ
<1114> 研究員Ｂ

// <1115> 「ほんの数時間ほどで、抑制剤の効力は完全に失われている。……もはや、まったく作用していない」
<1115> 「ほんの数時間ほどで、抑制剤の効力は完全に失われている。……もはや、まったく作用していない」

// <1116> 研究員Ｃ
<1116> 研究員Ｃ

// <1117> 「千年後の過酷な環境に適応するために生み出された個体だ」
<1117> 「千年後の過酷な環境に適応するために生み出された個体だ」

// <1118> 研究員Ｃ
<1118> 研究員Ｃ

// <1119> 「抑制剤に対する抵抗力を獲得したとしても、何の不思議もないな…」
<1119> 「抑制剤に対する抵抗力を獲得したとしても、何の不思議もないな…」

// <1120> 研究員Ａ
<1120> 研究員Ａ

// <1121> 「……恐ろしいことだ。今、あの隔離室は一見、真っ白で何も変わらないように見える」
<1121> 「……恐ろしいことだ。今、あの隔離室は一見、真っ白で何も変わらないように見える」

// <1122> 研究員Ａ
<1122> 研究員Ａ

// <1123> 「しかし、あの中はもう、サンタブローシアの惨状とまったく同じ毒で満たされているんだ…」
<1123> 「しかし、あの中はもう、サンタブローシアの惨状とまったく同じ毒で満たされているんだ…」

// <1124> 研究員Ａ
<1124> 研究員Ａ

// <1125> 「恐らく、あの部屋の空気を一呼吸しただけで、全身に紫色の斑点を浮き上がらせて、悶死するだろう…」
<1125> 「恐らく、あの部屋の空気を一呼吸しただけで、全身に紫色の斑点を浮き上がらせて、悶死するだろう…」

// <1126> 研究員Ｂ
<1126> 研究員Ｂ

// <1127> 「本当に、……この隔離室で大丈夫なんだろうな…？」
<1127> 「本当に、……この隔離室で大丈夫なんだろうな…？」

// <1128> 研究員Ｂ
<1128> 研究員Ｂ

// <1129> 「もっと大掛かりな施設へ移送した方がいいんじゃないのか…」
<1129> 「もっと大掛かりな施設へ移送した方がいいんじゃないのか…」

// <1130> 研究員Ｃ
<1130> 研究員Ｃ

// <1131> 「馬鹿言え。こいつは歩く放射性廃棄物だぞっ。誰が引き取りたがるものか…！」
<1131> 「馬鹿言え。こいつは歩く放射性廃棄物だぞっ。誰が引き取りたがるものか…！」

// <1132> 研究員Ｂ
<1132> 研究員Ｂ

// <1133> 「じゃあ早く鉛とコンクリートで部屋ごと埋めちまえよッ！」
<1133> 「じゃあ早く鉛とコンクリートで部屋ごと埋めちまえよッ！」

// <1134> 研究員Ｂ
<1134> 研究員Ｂ

// <1135> 「千年経つまで埋めて置けってんだ。俺は嫌だぞ、全身を紫色に腫らせながら、膿を撒き散らして死ぬなんてごめんだっ！」
<1135> 「千年経つまで埋めて置けってんだ。俺は嫌だぞ、全身を紫色に腫らせながら、膿を撒き散らして死ぬなんてごめんだっ！」

// <1136> パン。………カシャンカシャン。
<1136> パン。………カシャンカシャン。

// <1137> 突然、蛍光灯が１本、爆ぜる。
<1137> 突然、蛍光灯が１本、爆ぜる。

// <1138> 研究員Ａ
<1138> 研究員Ａ

// <1139> 「ぁ、……マイク、入りっ放し……」
<1139> 「ぁ、……マイク、入りっ放し……」

// <1140> 研究員Ｂ
<1140> 研究員Ｂ

// <1141> 「……バ、……バカ……」
<1141> 「……バ、……バカ……」

// <1142> ……ルチアは、……ガラス窓の向こうに、立っていた。
<1142> ……ルチアは、……ガラス窓の向こうに、立っていた。

// <1143> ……怒りとも悲しみとも、無表情ともつかない表情で、温かみを感じられぬ涙で顔をいっぱいに濡らしながら、…立っていた。
<1143> ……怒りとも悲しみとも、無表情ともつかない表情で、温かみを感じられぬ涙で顔をいっぱいに濡らしながら、…立っていた。

// <1144> 彼女は思い切りガラス窓を叩いたろう。しかし、１０ｃｍも厚みのあるそれは、その音さえ伝えなかった。
<1144> 彼女は思い切りガラス窓を叩いたろう。しかし、１０ｃｍも厚みのあるそれは、その音さえ伝えなかった。

// <1145> 彼らの無慈悲な言葉がスピーカーで伝えられたように。
<1145> 彼らの無慈悲な言葉がスピーカーで伝えられたように。

// <1146> ……ルチアの言葉も彼らにスピーカーを通して伝えられる…。
<1146> ……ルチアの言葉も彼らにスピーカーを通して伝えられる…。

// <1147> ルチア
<1147> ルチア

// <1148> 『……なら、……早く私を、千年の未来へ送れ』
<1148> 『……なら、……早く私を、千年の未来へ送れ』

// <1149> ルチア
