// <0000> 小鳥

// <0787> 「あんたのせいです」
<0787> 「あんたのせいです」

// <0788> 静流
<0788> 静流

// <0789> 「ゲーム？」
<0789> 「ゲーム？」

// <0790> 静流たちが様子を見に来た。
<0790> 静流たちが様子を見に来た。

// <0791> 小鳥
<0791> 小鳥

// <0792> 「頼まれてたコーヒー豆とキャンプセット買ってきたよ」
<0792> 「頼まれてたコーヒー豆とキャンプセット買ってきたよ」

// <0793> 瑚太朗
<0793> 瑚太朗

// <0794> 「サンキュ。買ったのか？」
<0794> 「サンキュ。買ったのか？」

// <0795> 小鳥
<0795> 小鳥

// <0796> 「お金はカウンターに置いてきたから」
<0796> 「お金はカウンターに置いてきたから」

// <0797> 瑚太朗
<0797> 瑚太朗

// <0798> 「律儀ちゃんめ」
<0798> 「律儀ちゃんめ」

// <0799> ルチア
<0799> ルチア

// <0800> 「これはゲーム盤なのか？」
<0800> 「これはゲーム盤なのか？」

// <0801> ちはや
<0801> ちはや

// <0802> 「地球ＤＥ進化～４６億年の旅～…おもしろそうですねえ」
<0802> 「地球ＤＥ進化～４６億年の旅～…おもしろそうですねえ」

// <0803> 朱音
<0803> 朱音

// <0804> 「月を地球にうまくぶつけて、生命を誕生させるゲームよ」
<0804> 「月を地球にうまくぶつけて、生命を誕生させるゲームよ」

// <0805> ゲームじゃねぇけどな…
<0805> ゲームじゃねぇけどな…

// <0806> しかし、懐かしい雰囲気だ。
<0806> しかし、懐かしい雰囲気だ。

// <0807> 部活で集まっていた、あの頃の雰囲気。
<0807> 部活で集まっていた、あの頃の雰囲気。

// <0808> 瑚太朗
<0808> 瑚太朗

// <0809> 「静流、やってみるか？」
<0809> 「静流、やってみるか？」

// <0810> 静流
<0810> 静流

// <0811> 「………」
<0811> 「………」

// <0812> うきうきと俺の傍らに寄ってくる。
<0812> うきうきと俺の傍らに寄ってくる。

// <0813> そういえばこの子、ゲームとか漫画とかがお気に入りだった。
<0813> そういえばこの子、ゲームとか漫画とかがお気に入りだった。

// <0814> 静流
<0814> 静流

// <0815> 「…ぶつける」
<0815> 「…ぶつける」

// <0816> 静流は第一球、大きく振りかぶって投げた。
<0816> 静流は第一球、大きく振りかぶって投げた。

// <0817> 剛速球…いや剛速月が、最大パワーで地球にぶつかった。
<0817> 剛速球…いや剛速月が、最大パワーで地球にぶつかった。

// <0818> 地球は砕け散った。
<0818> 地球は砕け散った。

// <0819> ＧＡＭＥＯＶＥＲ
<0819> ＧＡＭＥＯＶＥＲ

// <0820> 瑚太朗
<0820> 瑚太朗

// <0821> 「どわーーーっ！　いきなり何しとんじゃ！」
<0821> 「どわーーーっ！　いきなり何しとんじゃ！」

// <0822> 静流
<0822> 静流

// <0823> 「撃破成功」
<0823> 「撃破成功」

// <0824> ぐっと親指を立てる。
<0824> ぐっと親指を立てる。

// <0825> 瑚太朗
<0825> 瑚太朗

// <0826> 「地球滅ぼすゲームじゃねぇからこれ！」
<0826> 「地球滅ぼすゲームじゃねぇからこれ！」

// <0827> 静流
<0827> 静流

// <0828> 「しかしぶつけるゲームだと…」
<0828> 「しかしぶつけるゲームだと…」

// <0829> 瑚太朗
<0829> 瑚太朗

// <0830> 「あれ魔王みたいなもんだから、あの言葉を信じちゃいけません」
<0830> 「あれ魔王みたいなもんだから、あの言葉を信じちゃいけません」

// <0831> 静流
<0831> 静流

// <0832> 「むう」
<0832> 「むう」

// <0833> 朱音
<0833> 朱音

// <0834> 「ずいぶんね…」
<0834> 「ずいぶんね…」

// <0835> 瑚太朗
<0835> 瑚太朗

// <0836> 「もう月はデフォルトで行く」
<0836> 「もう月はデフォルトで行く」

// <0837> 歴史通りに月（正確には月の素）を激突させた。
<0837> 歴史通りに月（正確には月の素）を激突させた。

// <0838> 絶妙のぶつかりにより、地球と月は混じりあい、大量の破片を舞い上げる。
<0838> 絶妙のぶつかりにより、地球と月は混じりあい、大量の破片を舞い上げる。

// <0839> それは地球周囲を回転しつつ集まり、月になった。
<0839> それは地球周囲を回転しつつ集まり、月になった。

// <0840> これでいいんだ…
<0840> これでいいんだ…

// <0841> ルチア
<0841> ルチア

// <0842> 「ここからどうなる？」
<0842> 「ここからどうなる？」

// <0843> 瑚太朗
<0843> 瑚太朗

// <0844> 「ほっとけば、生命が生まれてくるな」
<0844> 「ほっとけば、生命が生まれてくるな」

// <0845> とか言ってるうちに、生命誕生に関わるパラメーターが跳ね上がった。
<0845> とか言ってるうちに、生命誕生に関わるパラメーターが跳ね上がった。

// <0846> 瑚太朗
<0846> 瑚太朗

// <0847> 「ほら…細菌と、古細菌だ」
<0847> 「ほら…細菌と、古細菌だ」

// <0848> 小鳥
<0848> 小鳥

// <0849> 「ふーん」
<0849> 「ふーん」

// <0850> ルチア
<0850> ルチア

// <0851> 「文字が読めないな…訳してくれないか」
<0851> 「文字が読めないな…訳してくれないか」

// <0852> ちはや
<0852> ちはや

// <0853> 「え、読めますよ？」
<0853> 「え、読めますよ？」

// <0854> 朱音
<0854> 朱音

// <0855> 「魔物使いは読みやすいのよね」
<0855> 「魔物使いは読みやすいのよね」

// <0856> 小鳥
<0856> 小鳥

// <0857> 「あたしもよめる」
<0857> 「あたしもよめる」

// <0858> 静流
<0858> 静流

// <0859> 「大陸の形がどんどん変わっていく…」
<0859> 「大陸の形がどんどん変わっていく…」

// <0860> 水槽にへばりつく小学生の群れみたいになる娘たち。
<0860> 水槽にへばりつく小学生の群れみたいになる娘たち。

// <0861> 時間を進める。
<0861> 時間を進める。

// <0862> しばらくはバクテリアの時代が続く。
<0862> しばらくはバクテリアの時代が続く。

// <0863> で、真核生物が登場。
<0863> で、真核生物が登場。

// <0864> さらに早送りで多細胞生物の発生時期まで一気に持って行く。
<0864> さらに早送りで多細胞生物の発生時期まで一気に持って行く。

// <0865> 生命の多様化といえば、カンブリア爆発が有名だ。
<0865> 生命の多様化といえば、カンブリア爆発が有名だ。

// <0866> その時代になると、生命は一気に複雑化している。
<0866> その時代になると、生命は一気に複雑化している。

// <0867> ルチア
<0867> ルチア

// <0868> 「む、海中に魔物が無数に生まれているな！」
<0868> 「む、海中に魔物が無数に生まれているな！」

// <0869> 瑚太朗
<0869> 瑚太朗

// <0870> 「魔物じゃねぇよ。リアル生物だっつうの」
<0870> 「魔物じゃねぇよ。リアル生物だっつうの」

// <0871> この時期の生物は、今の動物群とはずいぶん形が異なるため、魔物に見えるのだ。
<0871> この時期の生物は、今の動物群とはずいぶん形が異なるため、魔物に見えるのだ。

// <0872> 瑚太朗
<0872> 瑚太朗

// <0873> 「さて、手を加えるとしたらこのあたりからか…」
<0873> 「さて、手を加えるとしたらこのあたりからか…」

// <0874> 静流
<0874> 静流

// <0875> 「コタロー、この魔物はなんだ？」
<0875> 「コタロー、この魔物はなんだ？」

// <0876> 瑚太朗
<0876> 瑚太朗

// <0877> 「それはアノマロカリスという、この時代最強の魔物だ」
<0877> 「それはアノマロカリスという、この時代最強の魔物だ」

// <0878> 小鳥
<0878> 小鳥

// <0879> 「魔物で認めた…」
<0879> 「魔物で認めた…」

// <0880> 小鳥
<0880> 小鳥

// <0881> 「エビみたいだね」
<0881> 「エビみたいだね」

// <0882> ルチア
<0882> ルチア

// <0883> 「あまり美味そうではないが」
<0883> 「あまり美味そうではないが」

// <0884> 朱音
<0884> 朱音

// <0885> 「ロブスターも大きいものは大味だったりするのよね」
<0885> 「ロブスターも大きいものは大味だったりするのよね」

// <0886> 静流
<0886> 静流

// <0887> 「食べたことがない…朱音はふごーだ」
<0887> 「食べたことがない…朱音はふごーだ」

// <0888> 瑚太朗
<0888> 瑚太朗

// <0889> 「おめーもふごーだろ。貯金ためてんの知ってんぞ」
<0889> 「おめーもふごーだろ。貯金ためてんの知ってんぞ」

// <0890> ちはや
<0890> ちはや

// <0891> 「…５０センチくらいありますね、これ。よく見たらキリマンジャロに似てます」
<0891> 「…５０センチくらいありますね、これ。よく見たらキリマンジャロに似てます」

// <0892> 瑚太朗
<0892> 瑚太朗

// <0893> 「あぁ…」
<0893> 「あぁ…」

// <0894> あれはこれの化石を利用して作ったのかもしれない。
<0894> あれはこれの化石を利用して作ったのかもしれない。

// <0895> 瑚太朗
<0895> 瑚太朗

// <0896> 「こんなやつに海で襲われたら、気絶もんだな」
<0896> 「こんなやつに海で襲われたら、気絶もんだな」

// <0897> 静流
<0897> 静流

// <0898> 「………」
<0898> 「………」

// <0899> 瑚太朗
<0899> 瑚太朗

// <0900> 「どうした、気に食わないのか？」
<0900> 「どうした、気に食わないのか？」

// <0901> 静流
<0901> 静流

// <0902> 「とげとげしくて可愛くない…」
<0902> 「とげとげしくて可愛くない…」

// <0903> 静流
<0903> 静流

// <0904> 「かぶとがににしよう」
<0904> 「かぶとがににしよう」

// <0905> 静流は粘土をこねるようにして作成したデータを、無造作にカンブリア紀に放り込んだ。
<0905> 静流は粘土をこねるようにして作成したデータを、無造作にカンブリア紀に放り込んだ。

// <0906> 突然、古代の海底に体長３メートルの巨大生物が大量出現。
<0906> 突然、古代の海底に体長３メートルの巨大生物が大量出現。

// <0907> 瑚太朗
<0907> 瑚太朗

// <0908> 「…おい、生態系とか何も考えてないだろ」
<0908> 「…おい、生態系とか何も考えてないだろ」

// <0909> 瑚太朗
<0909> 瑚太朗

// <0910> 「でかすぎんだよ！」
<0910> 「でかすぎんだよ！」

// <0911> 小鳥
<0911> 小鳥

// <0912> 「わ、カブトガニだよ」
<0912> 「わ、カブトガニだよ」

// <0913> 朱音
<0913> 朱音

// <0914> 「角があるけど…」
<0914> 「角があるけど…」

// <0915> 瑚太朗
<0915> 瑚太朗

// <0916> 「そもそもカブトガニはこんなでかくない…」
<0916> 「そもそもカブトガニはこんなでかくない…」

// <0917> 静流
<0917> 静流

// <0918> 「名付けてヘラクレスオオカブトガニ」
<0918> 「名付けてヘラクレスオオカブトガニ」

// <0919> 静流
<0919> 静流

// <0920> 「かわいい・つよい・そしてやさしい」
<0920> 「かわいい・つよい・そしてやさしい」

// <0921> ルチア
<0921> ルチア

// <0922> 「なかなか強そうではあるな」
<0922> 「なかなか強そうではあるな」

// <0923> 静流
<0923> 静流

// <0924> 「こないだ戦った魔物と、同じくらいの強さだ」
<0924> 「こないだ戦った魔物と、同じくらいの強さだ」

// <0925> 瑚太朗
<0925> 瑚太朗

// <0926> 「強すぎるだろ！」
<0926> 「強すぎるだろ！」

// <0927> 瑚太朗
<0927> 瑚太朗

// <0928> 「あのな、このサイズの体を維持するには、めちゃくちゃ食わないといけないんだぞ？」
<0928> 「あのな、このサイズの体を維持するには、めちゃくちゃ食わないといけないんだぞ？」

// <0929> 静流
<0929> 静流

// <0930> 「………？」
<0930> 「………？」

// <0931> 瑚太朗
<0931> 瑚太朗

// <0932> 「だからな、そういう生物が突然出てきても…」
<0932> 「だからな、そういう生物が突然出てきても…」

// <0933> ヘラクレスオオカブトガニはどう猛で、たちまちアノマロカリスを全滅させてしまった。
<0933> ヘラクレスオオカブトガニはどう猛で、たちまちアノマロカリスを全滅させてしまった。

// <0934> というか、同時代の全生物を食い尽くしてしまった。
<0934> というか、同時代の全生物を食い尽くしてしまった。

// <0935> ２０年くらいで。
<0935> ２０年くらいで。

// <0936> 瑚太朗
<0936> 瑚太朗

// <0937> 「おぉぉぉぉぉい！」
<0937> 「おぉぉぉぉぉい！」

// <0938> 静流
<0938> 静流

// <0939> 「………！」
<0939> 「………！」

// <0940> 最終的にヘラクレスオオカブトガニは共食いを始め、凄惨な末路を辿った。
<0940> 最終的にヘラクレスオオカブトガニは共食いを始め、凄惨な末路を辿った。

// <0941> 静流
<0941> 静流

// <0942> 「あのやさしかったカブトたちが…！」
<0942> 「あのやさしかったカブトたちが…！」

// <0943> ちはや
<0943> ちはや

// <0944> 「生まれた当初からやさしさのかけらも見えませんでしたけどねえ」
<0944> 「生まれた当初からやさしさのかけらも見えませんでしたけどねえ」

// <0945> 静流
<0945> 静流

// <0946> 「むう」
<0946> 「むう」

// <0947> 静流
<0947> 静流

// <0948> 「ならば小さくして数を増やしてみれば…」
<0948> 「ならば小さくして数を増やしてみれば…」

// <0949> 今度はわらわらとプチカブトガニが現れ始めた。
<0949> 今度はわらわらとプチカブトガニが現れ始めた。

// <0950> プチカブトガニはまたもどう猛で、集団戦法によりヘラクレスオオカブトガニを捕食していった。
<0950> プチカブトガニはまたもどう猛で、集団戦法によりヘラクレスオオカブトガニを捕食していった。

// <0951> 最終的に食べ物を食い尽くしたプチカブトガニは共食いを始め、凄惨な末路を辿った。
<0951> 最終的に食べ物を食い尽くしたプチカブトガニは共食いを始め、凄惨な末路を辿った。

// <0952> 瑚太朗
<0952> 瑚太朗

// <0953> 「そういう滅ぼすゲームじゃねぇって言っただろ！」
<0953> 「そういう滅ぼすゲームじゃねぇって言っただろ！」

// <0954> 静流
<0954> 静流

// <0955> 「………」
<0955> 「………」

// <0956> 静流にシム系のゲームは向かないらしい…。
<0956> 静流にシム系のゲームは向かないらしい…。

// <0957> 瑚太朗
<0957> 瑚太朗

// <0958> 「くっそ、やり直しだ…」
<0958> 「くっそ、やり直しだ…」

// <0959> また苦労して史実通りに進めていると、
<0959> また苦労して史実通りに進めていると、

// <0960> ちはや
<0960> ちはや

// <0961> 「ゴキブリとかいらないですよねー…」
<0961> 「ゴキブリとかいらないですよねー…」

// <0962> ゴキブリがあらわれた３億年前になって、突然ちはやがデータをいじった。
<0962> ゴキブリがあらわれた３億年前になって、突然ちはやがデータをいじった。

// <0963> 地球は情け容赦ない氷河期に覆われた。
<0963> 地球は情け容赦ない氷河期に覆われた。

// <0964> 瑚太朗
<0964> 瑚太朗

// <0965> 「だあぁぁ、考えなしにそういうことすんなっ！」
<0965> 「だあぁぁ、考えなしにそういうことすんなっ！」

// <0966> 小鳥
<0966> 小鳥

// <0967> 「あたためなきゃだよ！」
<0967> 「あたためなきゃだよ！」

// <0968> 小鳥がデータをいじる。
<0968> 小鳥がデータをいじる。

// <0969> プレートを強制移動させて作った超巨大火山（標高２万メートル）が、大噴火した。
<0969> プレートを強制移動させて作った超巨大火山（標高２万メートル）が、大噴火した。

// <0970> 地球全体の気候が激変するほどの災害となった。
<0970> 地球全体の気候が激変するほどの災害となった。

// <0971> 瑚太朗
<0971> 瑚太朗

// <0972> 「わぁぁ！　もう無茶しちゃいやぁぁ！」
<0972> 「わぁぁ！　もう無茶しちゃいやぁぁ！」

// <0973> 瑚太朗
<0973> 瑚太朗

// <0974> 「噴火とか激アツに思えるけど、火山灰が太陽をさえぎってむしろ寒冷化しちゃうんだよ！」
<0974> 「噴火とか激アツに思えるけど、火山灰が太陽をさえぎってむしろ寒冷化しちゃうんだよ！」

// <0975> 小鳥
<0975> 小鳥

// <0976> 「そうだったんだ」
<0976> 「そうだったんだ」

// <0977> 瑚太朗
<0977> 瑚太朗

// <0978> 「あー、ひでーなこの星…氷で覆われちまう」
<0978> 「あー、ひでーなこの星…氷で覆われちまう」

// <0979> 朱音
<0979> 朱音

// <0980> 「なら溶かしましょう」
<0980> 「なら溶かしましょう」

// <0981> なぜか硫酸の雨が降り始めた。
<0981> なぜか硫酸の雨が降り始めた。

// <0982> 瑚太朗
<0982> 瑚太朗

// <0983> 「どこをいじるとそうなるーーーっ！？」
<0983> 「どこをいじるとそうなるーーーっ！？」

// <0984> 生物とかもう生きられる環境ではなくなっていた。
<0984> 生物とかもう生きられる環境ではなくなっていた。

// <0985> ＧＡＭＥＯＶＥＲ
<0985> ＧＡＭＥＯＶＥＲ

// <0986> 瑚太朗
<0986> 瑚太朗

// <0987> 「おまえら古代生物大百科とか読んで胸ワクワクさせてから出直してこい！」
<0987> 「おまえら古代生物大百科とか読んで胸ワクワクさせてから出直してこい！」

// <0988> 小鳥
<0988> 小鳥

// <0989> 「興味なし子」
<0989> 「興味なし子」

// <0990> ちはや
<0990> ちはや

// <0991> 「毛虫とかもいない世界だと、森の散歩が楽しくなるんですけどー」
<0991> 「毛虫とかもいない世界だと、森の散歩が楽しくなるんですけどー」

// <0992> ルチア
<0992> ルチア

// <0993> 「クラゲも滅ぼそう」
<0993> 「クラゲも滅ぼそう」

// <0994> 静流
<0994> 静流

// <0995> 「可愛い生物満載の星に…」
<0995> 「可愛い生物満載の星に…」

// <0996> 静流の言う可愛い生物は大抵肉食かつどう猛であった。
<0996> 静流の言う可愛い生物は大抵肉食かつどう猛であった。

// <0997> 瑚太朗
<0997> 瑚太朗

// <0998> 「こいつら…」
<0998> 「こいつら…」

// <0999> カオスの神が娘たちを支配していた。
<0999> カオスの神が娘たちを支配していた。

// <1000> 朱音
<1000> 朱音

// <1001> 「あ…」
<1001> 「あ…」

// <1002> 瑚太朗
<1002> 瑚太朗

// <1003> 「今度は何すか？」
<1003> 「今度は何すか？」

// <1004> 朱音
<1004> 朱音

// <1005> 「適当にいじっていたら、なんだか人類が生まれてしまったわ…」
<1005> 「適当にいじっていたら、なんだか人類が生まれてしまったわ…」

// <1006> 瑚太朗
<1006> 瑚太朗

// <1007> 「マ　ジ　でッ！？」
<1007> 「マ　ジ　でッ！？」

// <1008> 求めていた結果来た。
<1008> 求めていた結果来た。

// <1009> 時代を見ると中生代だ。
<1009> 時代を見ると中生代だ。

// <1010> 瑚太朗
<1010> 瑚太朗

// <1011> 「二億年前っ？　どうやって…？」
<1011> 「二億年前っ？　どうやって…？」

// <1012> 朱音
<1012> 朱音

// <1013> 「無茶が重なって、たまたまそうなったようね」
<1013> 「無茶が重なって、たまたまそうなったようね」

// <1014> 小鳥
<1014> 小鳥

// <1015> 「お、毛むくじゃらだけど、立って歩いてる。道具も持ってる」
<1015> 「お、毛むくじゃらだけど、立って歩いてる。道具も持ってる」

// <1016> 静流
<1016> 静流

// <1017> 「恐竜もいる」
<1017> 「恐竜もいる」

// <1018> 毛深い古代人たちは、集団で恐竜に襲いかかる。
<1018> 毛深い古代人たちは、集団で恐竜に襲いかかる。

// <1019> ルチア
<1019> ルチア

// <1020> 「恐竜を狩っているようだな」
<1020> 「恐竜を狩っているようだな」

// <1021> 瑚太朗
<1021> 瑚太朗

// <1022> 「信じられん…あんなムチャな出来事ばかりでどうやって…」
<1022> 「信じられん…あんなムチャな出来事ばかりでどうやって…」

// <1023> 何が幸いするかわからない好例か。
<1023> 何が幸いするかわからない好例か。

// <1024> 人類は順調に進化していった。
<1024> 人類は順調に進化していった。

// <1025> 集落はたちまち都市化し、祭儀が洗練され、生息域を広げる。
<1025> 集落はたちまち都市化し、祭儀が洗練され、生息域を広げる。

// <1026> 白亜紀も終わりに近づくと、乱獲によって恐竜が絶滅寸前になっているほどだった。
<1026> 白亜紀も終わりに近づくと、乱獲によって恐竜が絶滅寸前になっているほどだった。

// <1027> ちはや
<1027> ちはや

// <1028> 「確かこの時代って、隕石降ってくるんじゃないです？　氷河期になるんですよね」
<1028> 「確かこの時代って、隕石降ってくるんじゃないです？　氷河期になるんですよね」

// <1029> 瑚太朗
<1029> 瑚太朗

// <1030> 「本来なら恐竜絶滅させてるかもしれんってやつだな。キャンセルしよう」
<1030> 「本来なら恐竜絶滅させてるかもしれんってやつだな。キャンセルしよう」

// <1031> 瑚太朗
<1031> 瑚太朗

// <1032> 「さっき唐突に一度氷河期訪れてるしな…」
<1032> 「さっき唐突に一度氷河期訪れてるしな…」

// <1033> どのみち恐竜は狩猟圧により絶滅した。
<1033> どのみち恐竜は狩猟圧により絶滅した。

// <1034> 対して人は発展する。
<1034> 対して人は発展する。

// <1035> 現行人類とは異なる、立派なたてがみを持ったヒトではあったが。
<1035> 現行人類とは異なる、立派なたてがみを持ったヒトではあったが。

// <1036> 瑚太朗
<1036> 瑚太朗

// <1037> 「…厳密、霊長類じゃないな。ほ乳類ではあるけど」
<1037> 「…厳密、霊長類じゃないな。ほ乳類ではあるけど」

// <1038> 小鳥
<1038> 小鳥

// <1039> 「駆除しちゃう？」
<1039> 「駆除しちゃう？」

// <1040> 瑚太朗
<1040> 瑚太朗

// <1041> 「…いやいやいや！」
<1041> 「…いやいやいや！」

// <1042> 瑚太朗
<1042> 瑚太朗

// <1043> 「貴重な、知的な命なのですよ？」
<1043> 「貴重な、知的な命なのですよ？」

// <1044> 瑚太朗
<1044> 瑚太朗

// <1045> 「この際、支援してみようよ」
<1045> 「この際、支援してみようよ」

// <1046> この時代、世界にはパンゲアという超大陸がひとつあるだけだ。
<1046> この時代、世界にはパンゲアという超大陸がひとつあるだけだ。

// <1047> だがプレートの動きによって、今にも分裂しようという時期が来ていた。
<1047> だがプレートの動きによって、今にも分裂しようという時期が来ていた。

// <1048> これが後にユーラシアやアメリカ大陸にわかれていくのだ。
<1048> これが後にユーラシアやアメリカ大陸にわかれていくのだ。

// <1049> もちろん日本も。
<1049> もちろん日本も。

// <1050> アウロラを操作して、それを止めてみた。
<1050> アウロラを操作して、それを止めてみた。

// <1051> かなりの活力を消費することになったが…国家の分断は抑止できるかも。
<1051> かなりの活力を消費することになったが…国家の分断は抑止できるかも。

// <1052> 瑚太朗
<1052> 瑚太朗

// <1053> （どうなる？）
<1053> （どうなる？）

// <1054> ひとつの大陸内で、ヒトは発達していく。
<1054> ひとつの大陸内で、ヒトは発達していく。

// <1055> 原始的な闘争から、武器を用いた戦争へ。
<1055> 原始的な闘争から、武器を用いた戦争へ。

// <1056> そんな中、ひとつの技術革新が起こる。
<1056> そんな中、ひとつの技術革新が起こる。

// <1057> 魔術の発生だ。
<1057> 魔術の発生だ。

// <1058> 朱音
<1058> 朱音

// <1059> 「これは…」
<1059> 「これは…」

// <1060> 彼らは、魔術としか言いようのない術を発達させはじめた。
<1060> 彼らは、魔術としか言いようのない術を発達させはじめた。

// <1061> 肉体を怪物化する術。
<1061> 肉体を怪物化する術。

// <1062> 武器にかりそめの魂を付与する術。
<1062> 武器にかりそめの魂を付与する術。

// <1063> 巨獣を操る術。
<1063> 巨獣を操る術。

// <1064> 小鳥
<1064> 小鳥

// <1065> 「魔物使いだ」
<1065> 「魔物使いだ」

// <1066> 瑚太朗
<1066> 瑚太朗

// <1067> 「アウロラにアクセスしやがった…」
<1067> 「アウロラにアクセスしやがった…」

// <1068> かえって迷信深い方が、不可視の奇跡には触れやすいのだろう。
<1068> かえって迷信深い方が、不可視の奇跡には触れやすいのだろう。

// <1069> ちはや
<1069> ちはや

// <1070> 「魔物使いにこんなことができたなんて…」
<1070> 「魔物使いにこんなことができたなんて…」

// <1071> ルチア
<1071> ルチア

// <1072> 「似たようなことしてたじゃないか」
<1072> 「似たようなことしてたじゃないか」

// <1073> ちはや
<1073> ちはや

// <1074> 「そうですけどー」
<1074> 「そうですけどー」

// <1075> 考えてみれば、ちはややミドウのように、魔物の力を取り込むことが出来るのも、魔術的な所業だ。
<1075> 考えてみれば、ちはややミドウのように、魔物の力を取り込むことが出来るのも、魔術的な所業だ。

// <1076> 高砂も最終的にはそれに近いことをやらかしていたし。
<1076> 高砂も最終的にはそれに近いことをやらかしていたし。

// <1077> 瑚太朗
<1077> 瑚太朗

// <1078> 「これはシミュレーションだ。実際にこの歴史があったわけじゃない」
<1078> 「これはシミュレーションだ。実際にこの歴史があったわけじゃない」

// <1079> 朱音
<1079> 朱音

// <1080> 「けれど有り得たのでしょうね」
<1080> 「けれど有り得たのでしょうね」

// <1081> 瑚太朗
<1081> 瑚太朗

// <1082> 「ぎるとかぱにとか、イレギュラー魔物って思ってたけど、たぶん造り方はあったんだろうな…」
<1082> 「ぎるとかぱにとか、イレギュラー魔物って思ってたけど、たぶん造り方はあったんだろうな…」

// <1083> ちはや
<1083> ちはや

// <1084> 「そういえば、あの二人も造ればよかったんじゃないです？」
<1084> 「そういえば、あの二人も造ればよかったんじゃないです？」

// <1085> 瑚太朗
<1085> 瑚太朗

// <1086> 「いや、あいつらはな…」
<1086> 「いや、あいつらはな…」

// <1087> あの存在を造ること自体が哀しい気がして…。
<1087> あの存在を造ること自体が哀しい気がして…。

// <1088> 瑚太朗
<1088> 瑚太朗

// <1089> 「ま、続けよう…」
<1089> 「ま、続けよう…」

// <1090> 魔術文明は栄えた。
<1090> 魔術文明は栄えた。

// <1091> 戦国時代が来る。
<1091> 戦国時代が来る。

// <1092> 小国家が乱立。無数の魔術大系が編み出される。
<1092> 小国家が乱立。無数の魔術大系が編み出される。

// <1093> 魔術を持たない国家は、ただ滅ぼされるのみだった。
<1093> 魔術を持たない国家は、ただ滅ぼされるのみだった。

// <1094> やがていくつかの大国が生まれ、周囲を平定していく中で、ひとつが生き残った。
<1094> やがていくつかの大国が生まれ、周囲を平定していく中で、ひとつが生き残った。

// <1095> 大帝国の誕生だ。
<1095> 大帝国の誕生だ。

// <1096> 安定は文化レベルを向上させる。
<1096> 安定は文化レベルを向上させる。

// <1097> 魔術が農耕に転用されるようになり、人口が劇的増加を見せる。
<1097> 魔術が農耕に転用されるようになり、人口が劇的増加を見せる。

// <1098> 帝国はときに内乱を引き起こした。
<1098> 帝国はときに内乱を引き起こした。

// <1099> 国家は分裂し、大陸中に広がっていこうとした。
<1099> 国家は分裂し、大陸中に広がっていこうとした。

// <1100> 俺はそれを様々な手段で阻止した。
<1100> 俺はそれを様々な手段で阻止した。

// <1101> 天変地異や疫病、帝国に反発した集団を直接的に削除することもあった。
<1101> 天変地異や疫病、帝国に反発した集団を直接的に削除することもあった。

// <1102> 人口のコントロールはひどく難しい。
<1102> 人口のコントロールはひどく難しい。

// <1103> 強くいじめすぎれば坂道を転がるように衰亡し、手ぬるければ一瞬で人口は数十倍にもなる。
<1103> 強くいじめすぎれば坂道を転がるように衰亡し、手ぬるければ一瞬で人口は数十倍にもなる。

// <1104> すぐ新しい国を作りたがる。
<1104> すぐ新しい国を作りたがる。

// <1105> 瑚太朗
<1105> 瑚太朗

// <1106> 「どうしてこいつら、分裂したがるんだよっ」
<1106> 「どうしてこいつら、分裂したがるんだよっ」

// <1107> 人の繁殖力は、汚らわしいほどに旺盛だ。
<1107> 人の繁殖力は、汚らわしいほどに旺盛だ。

// <1108> 油断していると大地を一瞬で食い尽くしてしまうほどに…
<1108> 油断していると大地を一瞬で食い尽くしてしまうほどに…

// <1109> 二千年が過ぎる。
<1109> 二千年が過ぎる。

// <1110> 大帝国の分裂は避けられなかった。
<1110> 大帝国の分裂は避けられなかった。

// <1111> 三つの国家にわかれ、途中何度か戦争を挟みつつ、滅亡ギリギリのところでようやく安定。
<1111> 三つの国家にわかれ、途中何度か戦争を挟みつつ、滅亡ギリギリのところでようやく安定。

// <1112> 経済の網が三国にまたがり、国際協定が結ばれ、簡単に戦争はできなくなった。
<1112> 経済の網が三国にまたがり、国際協定が結ばれ、簡単に戦争はできなくなった。

// <1113> 小鳥
<1113> 小鳥

// <1114> 「やったね」
<1114> 「やったね」

// <1115> 瑚太朗
<1115> 瑚太朗

// <1116> 「ああ、これからだ」
<1116> 「ああ、これからだ」

// <1117> 瑚太朗
<1117> 瑚太朗

// <1118> 「我が神聖なる統治こそが唯一、下等人類どもを千年…いや万年王国へと導くこととなるだろう」
<1118> 「我が神聖なる統治こそが唯一、下等人類どもを千年…いや万年王国へと導くこととなるだろう」

// <1119> ルチア
<1119> ルチア

// <1120> 「また悪い癖が出てるな」
<1120> 「また悪い癖が出てるな」

// <1121> 静流
<1121> 静流

